city,lng,lat
Denizli,29.0878,37.7731
Dispur,91.77,26.15
Coimbatore,76.9667,11.0
Luocheng,111.5745,22.7645
Guwāhāti,91.7667,26.1667
Shima,117.8118,24.4475
Sŏngnam,127.1378,37.4386
Solāpur,75.9167,17.6833
Tangier,-5.8125,35.7847
Anqiu,119.1072,36.3619
Feicheng,116.772,36.186
Taishan,112.785,22.2486
Kisangani,25.1911,0.5153
Khartoum North,32.6333,15.6333
Aguascalientes,-102.296,21.876
Marrakech,-7.9811,31.6295
Nada,109.5833,19.5
Donetsk,37.8042,48.0089
Taihecun,131.0063,45.768
Wuchuan,110.7659,21.4571
Trujillo,-79.0289,-8.1119
Cebu City,123.9,10.3
Taihe,105.3784,30.8706
Olinda,-34.85,-8.0
Bridgeport,-73.1953,41.1918
Trichinopoly,78.6928,10.8269
Xin’an,118.3369,34.3662
Padang,100.3606,-0.9556
Qingzhou,118.4797,36.6967
Buffalo,-78.8487,42.9016
Xinyi,110.9369,22.3559
Lichuan,108.9378,30.2965
Daye,114.9699,30.1003
Fort Worth,-97.3473,32.7811
Zhuanghe,122.9664,39.6896
Hartford,-72.6834,41.7661
